   SiO2  	   TiO2  	   Al2O3 	   Cr2O3 	   FeO   	   MnO   	   MgO   	   CaO   	   Na2O  	   K2O   
45.07000	0.69470	15.73000	0.02530	8.83000	0.03690	13.13000	9.36000	3.55000	0.50680
45.66000	0.63680	15.21000	0.04310	8.71000	0.03080	13.50000	9.26000	3.45000	0.49310
45.76000	0.61770	14.92000	0.02550	8.73000	0.03360	13.54000	9.28000	3.37000	0.52380
46.10000	0.61330	14.69000	0.02640	8.67000	0.01760	13.69000	9.38000	3.35000	0.54820
46.04000	0.62850	14.65000	0.03170	8.79000	0.05280	13.71000	9.34000	3.35000	0.55920
46.20000	0.75500	14.64000	0.01170	8.57000	0.01710	13.65000	9.28000	3.39000	0.54000
46.21000	0.65120	14.79000	0.04100	8.68000	0.04850	13.58000	9.29000	3.40000	0.50340
46.16000	0.67290	14.84000	0.04100	8.60000	0.03800	13.65000	9.39000	3.42000	0.49680
46.31000	0.64070	14.66000	0.02560	8.54000	0.03420	13.77000	9.34000	3.34000	0.51680
46.20000	0.63960	14.69000	0.00970	8.72000	0.03630	13.75000	9.39000	3.35000	0.52980
45.93000	0.66410	14.94000	0.03990	8.71000	0.04910	13.61000	9.43000	3.40000	0.50080
45.98000	0.79380	14.87000	0.06340	8.85000	0.03360	13.55000	9.37000	3.45000	0.51770
45.85000	0.77300	14.97000	0.03130	8.77000	0.03200	13.51000	9.31000	3.43000	0.54050
45.67000	0.67380	15.02000	0.06550	8.76000	0.01760	13.43000	9.34000	3.39000	0.56480
45.67000	0.66170	15.34000	0.05280	8.85000	0.02700	13.46000	9.36000	3.46000	0.58850
45.54000	0.67980	15.48000	0.06430	8.87000	0.02700	13.29000	9.36000	3.44000	0.57670
45.28000	0.70270	15.54000	0.06830	9.00000	0.02260	13.20000	9.38000	3.36000	0.56720
45.15000	0.78900	15.96000	0.05520	9.04000	0.04790	13.00000	9.41000	3.51000	0.60320
45.56000	0.72290	15.56000	0.03810	9.05000	0.03800	13.22000	9.33000	3.52000	0.56090
45.49000	0.69360	15.59000	0.04460	8.90000	0.02700	13.18000	9.19000	3.43000	0.56060
45.54000	0.70140	15.79000	0.05700	9.02000	0.04410	13.14000	9.21000	3.48000	0.55550
45.46000	0.70280	15.84000	0.06000	8.90000	0.05280	13.10000	9.29000	3.50000	0.52900
45.38000	0.71720	15.88000	0.07150	8.85000	0.03740	13.11000	9.22000	3.57000	0.52510
45.36000	0.62470	16.35000	0.02900	8.69000	0.03970	13.01000	9.31000	3.54000	0.43420
