SiO2	TiO2	Al2O3	Cr2O3	V2O3	FeO	MnO	MgO	CaO	Na2O	K2O
40.26702	0.31914	16.33523	0.05294	-0.03351	15.45218	0.26930	11.30343	9.97767	3.68891	0.12007
40.12408	0.26720	16.37461	0.01253	0.02326	15.24172	0.25884	11.35858	10.06767	3.69564	0.10168
40.80649	0.31939	15.49827	0.01695	0.02851	15.27013	0.25704	11.78101	10.05911	3.65055	0.11977
40.18817	0.29372	15.99279	0.01280	0.04370	15.33450	0.25267	11.31748	10.34553	3.58589	0.11939
39.32922	0.39627	16.65145	0.03178	0.03522	15.99544	0.23201	10.76094	9.63834	3.39104	0.11693
40.38973	0.54207	15.46884	0.04022	0.03013	15.31502	0.26592	11.56302	10.19149	3.59731	0.09997
40.58628	0.57830	15.45921	0.04029	0.06877	15.02954	0.20521	11.70451	10.67569	3.60119	0.10590
40.53928	0.54894	15.68368	0.04645	0.06854	14.35560	0.18124	11.50508	10.53253	3.55103	0.13559
40.99083	0.42649	14.92857	0.04869	0.05021	14.44800	0.17129	12.21644	10.79437	3.54961	0.13357
40.55697	0.42404	15.40475	0.03193	0.04038	14.13349	0.20558	12.04688	10.91020	3.51335	0.13024
41.07956	0.38501	15.07893	0.03820	0.01838	13.87108	0.17721	12.43034	10.62037	3.60308	0.13345
40.63608	0.44280	15.30938	0.04035	0.05039	14.83344	0.19519	12.04859	10.63676	3.64329	0.13898
41.42720	0.49805	14.70648	0.04024	0.04017	14.10518	0.15562	12.83236	10.53375	3.65797	0.11056
42.04576	0.54429	13.97299	0.05529	0.05373	13.44875	0.17616	13.36264	10.92074	3.56978	0.11444
42.04611	0.69798	13.80727	0.06189	0.03023	12.67441	0.13229	13.74475	10.92688	3.59695	0.14479
42.31022	0.62081	13.71308	0.03065	0.06760	12.48700	0.15523	13.95855	10.45653	3.64953	0.15185
42.45454	0.55995	14.19230	0.00000	0.03048	11.72416	0.14864	14.31207	10.42331	3.66819	0.14819
42.52480	0.56404	13.93839	0.04797	0.17644	10.62583	0.15560	14.83436	10.18667	3.69018	0.18194
43.06568	0.64052	13.82706	0.00000	0.07489	10.16902	0.10933	15.24991	10.27248	3.71623	0.19677
42.94516	0.64061	13.68223	0.00487	0.06457	9.53627	0.11939	15.80256	10.32873	3.80843	0.21223
43.54110	0.67592	13.34152	0.00000	0.11447	8.08692	0.02729	16.35066	11.02476	3.69684	0.19685
42.45789	1.24589	15.26190	0.00000	0.15625	5.86735	0.02960	16.52095	12.46455	3.69688	0.09574
