SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Na2O	K2O	BaO	F	Cl
34.79278	3.26250	18.81894	21.38594	0.51418	7.61532	0.00116	0.12275	9.65540	0.14043	0.16717	0.05268
34.69614	3.02061	18.75562	21.51051	0.46040	7.85806	-0.00866	0.15147	9.65586	0.19491	0.16036	0.04364
34.94218	3.28374	19.02513	21.42638	0.43474	7.82834	-0.00712	0.11509	9.74521	-0.00388	0.18504	0.04293
34.81343	3.39789	18.70780	21.28356	0.53445	7.63046	0.00212	0.10462	9.76531	0.06487	0.14833	0.03863
34.89640	3.22145	18.99033	21.14187	0.48436	7.64276	-0.01444	0.11133	9.64770	0.18748	0.15193	0.05432
34.91184	3.10549	18.84880	21.33369	0.39670	7.79706	-0.00788	0.16682	9.62629	0.10330	0.15656	0.05149
34.19748	3.09824	18.53463	22.00548	0.43759	7.92717	0.01179	0.08762	9.00728	0.10305	0.21041	0.04367
34.82052	3.17767	19.03292	21.48451	0.40327	7.93063	-0.01406	0.16562	9.36150	0.11846	0.16742	0.04865
34.77265	3.05927	19.04456	21.15355	0.40123	8.02591	-0.01639	0.17762	9.50166	-0.01918	0.13225	0.04227
34.89664	2.94599	18.99915	20.92385	0.39817	7.83813	-0.00593	0.14659	9.58767	0.08050	0.15751	0.04728
34.18336	2.18095	19.84372	20.71897	0.33899	9.56424	-0.00733	0.16242	8.06495	0.07647	0.14084	0.03586
35.21566	2.46802	19.83365	18.75877	0.24278	9.25692	-0.00565	0.18617	9.63739	0.00819	0.22955	0.03593
35.34666	2.47934	19.75504	18.75154	0.29025	9.37854	0.07398	0.20781	9.55209	0.06986	0.24606	0.03309
34.23167	2.03789	19.95575	20.81621	0.36227	9.62171	-0.00019	0.21660	7.99467	0.06947	0.17137	0.04243
35.51034	2.48689	19.93840	19.01471	0.22928	9.35196	-0.01572	0.23663	9.55472	0.19302	0.21253	0.03595
35.43137	2.35805	20.05239	18.70854	0.26210	9.39792	0.00486	0.23212	9.60330	0.12381	0.24685	0.04668
35.48363	2.65361	19.90686	18.79975	0.23157	9.22076	-0.00058	0.24213	9.62897	0.16995	0.19888	0.05736
35.46544	2.61898	19.95669	18.67887	0.24405	9.36814	0.00098	0.23045	9.68816	0.06218	0.22999	0.05523
35.45412	2.62019	19.99999	18.88420	0.28338	9.30676	-0.00331	0.24978	9.67116	0.04669	0.20131	0.02950
35.59303	2.49523	20.08466	18.74453	0.24426	9.40833	-0.00168	0.27782	9.72334	0.16257	0.19032	0.04314
35.36321	2.82340	19.70795	19.27102	0.47419	8.79745	-0.00853	0.15196	9.73082	0.04995	0.31013	0.02748
35.22517	2.57760	19.66222	19.14666	0.38230	9.06988	0.01406	0.17257	9.78176	0.02720	0.30816	0.03610
35.00350	2.66244	19.71199	19.20399	0.37886	9.16010	0.00551	0.16335	9.62943	0.06565	0.29779	0.03538
35.38283	2.63868	19.80376	19.06629	0.38117	9.09162	0.00938	0.18749	9.71716	0.01174	0.29264	0.04680
35.14862	2.75594	19.67871	19.24643	0.38778	9.16651	-0.00459	0.16895	9.55335	0.01943	0.31111	0.04822
35.93285	2.56102	20.52221	17.89140	0.35374	8.39134	0.00008	0.15591	9.10463	-0.11154	0.26150	0.05126
34.87769	2.66429	19.78363	19.25998	0.35514	9.07613	0.01675	0.15585	9.31818	0.13482	0.29008	0.04611
35.03435	2.59684	19.67607	19.63388	0.39110	9.12829	-0.00106	0.14639	9.43425	-0.02656	0.30004	0.03326
35.17876	2.68097	19.71231	19.87562	0.41335	8.71090	-0.01115	0.14744	9.57030	-0.01893	0.30636	0.05247
35.15152	2.65272	19.70471	19.43467	0.39553	8.87007	-0.01390	0.17369	9.60346	0.01942	0.30555	0.03037
35.09914	3.26892	19.60522	20.07941	0.29313	8.19430	-0.00542	0.33984	9.42092	0.25978	0.13258	0.04717
35.15787	3.17193	19.48376	20.11301	0.32400	8.29291	-0.00844	0.32101	9.33921	0.18331	0.20530	0.03512
34.94756	3.50202	19.38402	20.08308	0.24170	8.24433	0.00399	0.32084	9.49262	0.29106	0.16729	0.04509
35.05050	3.30394	19.35724	19.91084	0.23387	8.27567	0.00438	0.31334	9.36343	0.29119	0.17403	0.07156
34.94638	3.25405	19.38918	20.07693	0.28360	8.24545	0.00170	0.33012	9.46471	0.24511	0.18551	0.04871
35.01186	3.38410	19.39081	20.13547	0.22490	8.25587	-0.00218	0.32094	9.46316	0.20662	0.13480	0.05584
