F	Cl	Na2O	K2O	MgO	BaO	MnO	FeO	Al2O3	Cr2O3	SiO2	TiO2
1.8724659	1.3520403	0.15278306	9.3703929	9.5449548	0.19559841	0.07004957	20.905904	15.229594	0.03223831	35.922316	4.7775131
1.825990333	1.203663444	0.148644856	9.265508778	9.470141	0.201921889	0.042758256	21.10567111	15.34714556	0.062357722	35.90188333	4.844759889
1.7636317	1.200914	0.12293584	9.2646181	9.5133507	0.27599679	0.0235954	20.841272	15.312135	0.051497	36.048944	5.072616
1.5474	0.4707	0.1009	9.3899	11.468	0.2097	0.0297	17.9741	15.2496	0.0358	35.9866	5.2624
1.66	0.5237	0.1309	9.5073	11.3987	0.1181	0.0314	18.2148	15.1771	0.015	36.1241	5.3726
1.516	0.5609	0.1349	9.3979	10.7447	0.2558	0.0344	18.5834	15.0096	0.0228	35.3091	5.2711
1.5627484	1.2572363	0.15065366	9.4484261	10.28037	0.16609485	0.00946411	18.375382	14.982742	0.10707262	35.915094	6.4738467
1.6059924	1.3262275	0.07883913	9.6134359	11.007825	0.24060488	0	18.371108	15.096348	0.10551439	36.348546	5.5465212
1.5491799	1.7531447	0.12142724	9.4493109	10.0398922	0.18548186	0	19.900577	14.925232	0.11548369	35.89757	5.0747409
1.664201	1.4188428	0.24669754	9.1517943	12.298734	0.24463318	0	17.395587	14.331662	0.12404469	36.899536	5.3894252
1.9601057	1.03886712	0.25055855	9.0650888	12.415965	0.24748542	0	16.191991	14.779372	0.12981904	37.05659	6.0302379
2.4867803	0.99501948	0.30281854	9.2654953	15.385241	0.25905681	0	13.141633	15.159106	0.0989881	37.539385	4.1324512
1.6896789	1.155229	0.28271923	9.2269476	11.880969	0.13839747	0	17.67928	14.911806	0.09089271	36.886343	5.557087
1.7701029	1.1348791	0.29778517	9.1609375	12.024092	0.13565232	0	17.358179	14.917641	0.06079041	36.598057	5.177074
1.7084994	1.1608546	0.28037499	9.1697339	11.70032	0.11492543	0	17.568306	15.283977	0.08149221	36.687075	5.731152
2.288359444	0.8334882	0.172429233	9.559927444	14.17499778	0.153814044	0	14.56528444	14.94180111	0.285987033	36.92109333	5.210886778
2.0695414	0.88851873	0.14814589	9.5702264	14.389996	0.23906578	0	14.576157	14.886478	0.32629826	37.080572	4.9725687
2.1623282	0.82329145	0.14457811	9.4906831	14.167193	0.1843596	0.03247059	14.544696	14.895725	0.28001202	37.090894	5.060405
1.1622095	0.19271395	0.12062405	9.2526534	10.0799307	0.32162976	0.04083268	19.572432	14.900642	0.03513048	36.453132	6.0273005
1.3341427	0.20033485	0.10396493	9.3089891	9.8143367	0.32563219	0.05310543	20.224498	14.811902	0.04009371	36.198194	6.1981256
1.135293	0.19533883	0.15897553	9.4112341	9.9146051	0.31614068	0.04854868	19.980358	14.968361	0.03748432	36.369536	6.0186798
2.3186506	0.83459033	0.1785574	9.6365656	15.877046	0.02215629	0.03458095	13.17655	16.190876	0	38.131218	2.4464383
2.5882573	0.74119372	0.19900532	9.5944266	16.152064	0.11902085	0.02081231	13.707966	15.627368	0.02772091	37.806437	2.1501578
2.4871167	0.7185887	0.19718865	9.642017	16.502519	0.10053871	0.04780163	13.441233	15.974632	0	38.044848	1.5999311
