   S     	   Co    	   Cu    	   As    	   Fe    	   Ni    
33.56	0.04	34.06	0.00	30.55	0.02
33.56	0.04	34.04	0.00	30.65	0.01
33.55	0.04	34.20	0.00	30.59	0.01
33.50	0.04	34.09	0.00	30.57	0.01
33.67	0.03	34.07	0.00	30.65	0.01
33.66	0.04	34.02	0.00	30.53	0.01
33.75	0.04	33.98	0.00	30.53	0.01
33.74	0.04	33.87	0.00	30.70	0.01
33.77	0.04	33.87	0.00	30.86	0.00
33.65	0.04	34.03	0.00	30.74	0.00
34.65	0.03	33.93	0.00	30.49	0.00
34.65	0.03	34.04	0.00	30.66	0.01
34.58	0.03	34.03	0.00	30.66	0.00
34.45	0.03	34.00	0.00	30.52	0.00
34.42	0.03	34.07	0.00	30.54	0.00
34.37	0.03	34.09	0.00	30.51	0.00
34.55	0.02	33.73	0.00	30.08	0.00
34.77	0.03	33.88	0.00	30.58	0.01
34.51	0.03	34.04	0.00	30.67	0.00
34.50	0.03	33.72	0.00	30.35	0.01
34.23	0.04	33.96	0.00	30.31	0.00
33.76	0.04	34.14	0.00	30.49	0.00
33.91	0.04	34.18	0.00	30.43	0.00
33.89	0.03	34.26	0.00	30.59	0.00
33.68	0.04	34.21	0.00	30.59	0.01
33.90	0.03	34.14	0.00	30.55	0.00
33.95	0.03	34.22	0.00	30.47	0.00
33.87	0.03	34.20	0.00	30.53	0.00
33.79	0.03	34.17	0.00	30.57	0.01
					
