SiO2  	TiO2  	Al2O3 	Cr2O3 	FeO   	MnO   	MgO   	CaO   	Na2O  	K2O   			
25.7500	0.0243	20.2600	0.0156	26.2600	0.2771	15.0100	0.0098	0.0110	0.0000			
25.9100	0.0390	20.1500	0.0014	25.2100	0.2595	15.6000	0.0067	0.0120	0.0000			
25.7300	0.0167	20.3900	0.0000	25.7900	0.2530	15.4600	0.0033	0.0169	0.0039			
25.7200	0.0182	20.3100	0.0061	25.4800	0.2303	15.3600	0.0119	0.0153	0.0009			
25.6500	0.0207	20.4600	0.0041	25.9000	0.2501	15.2600	0.0177	0.0172	0.0000			
25.7700	0.0248	20.3000	0.0268	25.5100	0.2536	15.7100	0.0097	0.0314	0.0033			
25.9500	0.0193	20.0100	0.0200	27.1900	0.3516	14.1700	0.0172	0.0389	0.0092			
25.9100	0.0213	20.2000	0.0140	25.4000	0.2863	15.5800	0.0141	0.0115	0.0035			
26.0100	0.0320	20.0100	0.0020	25.8100	0.2958	15.3000	0.0055	0.0114	0.0056			
25.9100	0.0176	20.0400	0.0000	25.3700	0.2324	15.7300	0.0102	0.0214	0.0062			
25.6300	0.0260	19.7300	0.0257	29.2200	0.3942	11.6200	0.0348	0.0489	0.0611			
25.4400	0.0167	19.8800	0.0000	29.4800	0.3532	12.1100	0.0301	0.0360	0.0263			
25.2500	0.0165	20.1900	0.0000	29.4300	0.4183	12.1000	0.0321	0.0242	0.0200			
26.1400	0.0213	19.5800	0.0249	28.6700	0.3752	11.9900	0.0481	0.0641	0.0671			
25.8400	0.0199	19.8000	0.0070	29.0000	0.3822	11.8800	0.0513	0.0455	0.0444			
25.5100	0.0257	20.0800	0.0187	28.0200	0.3755	13.4600	0.0103	0.0165	0.0104			
25.3600	0.0232	20.0600	0.0014	28.4500	0.3384	13.2100	0.0108	0.0138	0.0030			
25.3100	0.0276	20.2000	0.0114	28.7600	0.3652	12.8000	0.0101	0.0039	0.0060			
24.9400	0.0234	20.2600	0.0000	28.9600	0.3915	12.5600	0.0192	0.0188	0.0087			
26.5200	0.0619	19.7500	0.0000	22.7100	0.2014	17.6500	0.0282	0.0094	0.0003			
26.5800	0.0385	19.9100	0.0109	22.6700	0.2204	17.6600	0.0273	0.0041	0.0027			
26.4700	0.0410	19.9400	0.0099	22.6500	0.2275	17.7200	0.0153	0.0093	0.0042			
