   SiO2  	   TiO2  	   Al2O3 	   Cr2O3 	   FeO   	   MnO   	   NiO   	   MgO   	   CaO   	   Na2O  	   K2O   
24.08000	0.01050	38.79000	0.04020	24.62000	0.23580	0.02390	3.39000	0.00970	0.00000	0.00140
24.17000	0.02620	38.90000	0.05210	24.08000	0.14780	0.02270	3.71000	0.00730	0.01000	0.00000
24.10000	0.01750	38.72000	0.05060	24.67000	0.20950	0.00000	3.52000	0.00150	0.00000	0.00000
24.08000	0.02160	38.55000	0.01340	25.33000	0.31120	0.01720	3.01000	0.00370	0.00900	0.00290
24.04000	0.01860	38.60000	0.03270	25.28000	0.25530	0.00090	3.09000	0.01860	0.00000	0.00450
24.05000	0.03460	38.86000	0.02600	25.46000	0.27450	0.01350	3.11000	0.00720	0.00900	0.00340
24.19000	0.13390	38.94000	0.02120	24.24000	0.14370	0.04050	3.67000	0.00000	0.00670	0.00100
24.08000	0.20240	38.62000	0.06350	25.39000	0.32410	0.01140	2.90000	0.00940	0.00000	0.00000
24.07000	0.06620	38.81000	0.05220	25.36000	0.30790	0.02190	2.92000	0.00680	0.00140	0.00000
24.12000	0.09330	38.50000	0.05480	25.26000	0.30270	0.00380	3.03000	0.01620	0.00080	0.00000
23.99000	0.08560	38.73000	0.04330	25.02000	0.23530	0.00000	3.15000	0.00450	0.00450	0.00210
