SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O	BaO
56.68782	0.04582	8.82722	0.00872	16.83768	0.23515	7.43836	0.63380	7.12398	0.01930	0.00984
56.82473	0.00000	9.16540	0.00450	15.68668	0.15565	7.73862	0.56346	7.12003	0.01461	0.04283
56.60549	0.00000	9.10314	-0.00187	16.41226	0.20624	7.48146	0.59382	7.11385	0.01899	0.00000
57.09642	0.02505	9.52254	-0.00006	15.89486	0.15625	7.47897	0.36680	7.46894	0.00903	0.00000
56.79506	0.02175	9.19306	0.00000	15.98932	0.23650	7.79548	0.71894	7.00941	0.01820	0.04263
57.12131	0.01835	9.49279	0.00000	15.63420	0.18034	7.56758	0.32615	7.28975	0.00765	0.00000
56.58166	0.01497	8.57416	0.01738	16.35499	0.24340	7.94165	1.06580	6.86043	0.02624	0.00338
56.77565	0.00122	9.10028	0.01955	16.32500	0.19501	7.50381	0.53072	7.15764	0.00842	0.00000
56.92059	0.02187	9.43810	0.00666	15.34467	0.15688	7.87538	0.52259	7.23474	0.01571	0.02969
56.72018	0.02876	9.17526	0.00670	16.29614	0.22657	7.49572	0.61887	7.30267	0.01899	0.02315
57.36644	0.01792	10.16935	0.07362	14.78653	0.10731	7.91013	0.13904	7.50386	0.00841	0.13253
57.40988	0.00751	10.36996	0.07581	14.36841	0.07903	7.90361	0.15344	7.43041	-0.00112	0.13254
57.51064	0.00000	10.30886	0.05000	14.63465	0.08823	7.87993	0.15615	7.46369	0.00002	0.02054
57.51143	0.00000	9.94842	0.09083	14.71754	0.11066	8.05574	0.15194	7.48582	0.00877	0.02700
57.26889	0.00000	10.16592	0.02613	14.63655	0.09363	7.79632	0.18685	7.38468	0.01130	0.11262
57.39112	0.00000	10.09611	0.05001	14.40363	0.08030	7.95621	0.17679	7.39385	0.01429	0.12612
57.24859	0.00000	9.97714	0.07990	14.95339	0.09922	7.91902	0.26188	7.33079	0.00910	0.02689
57.52669	0.03502	10.39031	0.05413	14.21578	0.07096	7.93799	0.15701	7.41690	0.00651	0.08617
57.57808	0.00000	10.03189	0.03481	14.11796	0.15023	8.11910	0.14536	7.47274	0.00838	0.02694
57.27103	0.01778	9.95063	0.04118	14.34638	0.13988	8.15762	0.14853	7.41723	0.00945	0.07959
57.23109	0.02776	9.43308	0.04630	15.11132	0.10610	8.10011	0.31469	7.32363	0.00402	0.00000
57.10536	0.01043	9.53065	0.02687	14.92917	0.09809	8.33932	0.42906	7.18761	0.00069	0.00115
57.12578	0.04842	9.48962	0.10238	14.58534	0.12864	8.40148	0.74798	7.05409	0.03903	0.00000
57.02965	0.01391	9.40312	0.06996	14.98439	0.14101	8.31913	0.68073	7.10952	0.00217	0.00000
57.02358	0.00000	9.26855	0.03987	15.26247	0.14111	8.31064	0.60796	7.13967	0.01425	0.00000
57.01277	0.02430	9.14909	0.05918	15.32324	0.11621	8.13251	0.49144	7.07885	0.01387	0.00000
57.06915	0.00000	8.86369	0.03992	15.26153	0.14798	8.42168	0.43886	7.13025	0.00990	0.00000
56.74226	0.02093	8.34969	0.06778	15.80991	0.19521	8.60520	0.83074	6.84654	0.03686	0.00000
56.82053	0.01395	8.95041	0.07200	15.56197	0.15336	8.16383	0.49498	7.18441	0.01606	0.00000
56.92149	0.03108	8.74912	0.07833	15.62344	0.15207	8.39518	0.52694	7.14584	0.01054	0.00000
