SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO
37.13	0.22	0.01	5.68	0	22.29	34.51
36.28	0.25	0.01	6.04	0.03	21.9	34.84
36.61	0.24	0.01	5.89	0.02	21.42	34.7
36.35	0.26	0.01	5.89	0.03	21.7	34.7
37.08	0.24	0.01	6.02	0	21.62	34.42
36.37	0.24	0.01	6.26	0.02	21.63	34.79
36.29	0.22	0.01	6.09	0.04	21.64	35.32
36.78	0.17	0.01	3.32	0.02	23.93	35.5
37.32	0.15	0	0.92	0.02	26.03	34.95
36.47	0.21	0.01	5.69	0.02	22.07	35.05
36.98	0.17	0.01	3.38	0.03	23.75	34.97
36.72	0.21	0.01	5.39	0.02	22.32	35.01
36.92	0.24	0.01	9.05	0	23.23	30.05
36.71	0.3	0.01	11.39	0	22.87	28.42
39.69	0.18	0.01	13.36	0	43.25	3.86
36.83	0.26	0	11.46	0	21.7	30.02
37.34	0.3	0	9.5	0	23.81	29.98
40.71	0.16	0.01	9.71	0	46.38	3.44
37.35	0.25	0	9.59	0	23.67	29.62
37.13	0.29	0	10.65	0	22.64	29.75
36.69	0.28	0.01	11.44	0	22.41	30.02
36.91	0.26	0.01	10.67	0	22.71	29.68
35.72	0.25	0.01	11.86	0	21.73	28.76
36.38	0.24	0	10.91	0.03	22.33	29.22
36.52	0.26	0.01	10.38	0.04	22.42	29.55
36.72	0.23	0.01	9.81	0	22.58	30.38
37.2	0.25	0	8.63	0	25.03	28.5
37.54	0.3	0.01	5.8	0	27.03	28.75
36.01	0.21	0.01	14.93	0	20.78	27.46
38.68	0.16	0.01	17.87	0	39.89	3.84
36.8	0.26	0.01	11.16	0	23.3	28.99
39.57	0.18	0.02	13.25	0	43.13	3.87
37.25	0.23	0	9.73	0	24.09	29.22
40.1	0.23	0.02	11.25	0	45.1	4.15
37.6	0.27	0	8.29	0	25.12	29.07
40.02	0.16	0.01	10.18	0	46.35	3.66
37.16	0.25	0	10.49	0	23.57	28.94
39.58	0.21	0.02	12.23	0	44.37	3.87
37.53	0.23	0	8.99	0	24.25	29.53
39.94	0.14	0.02	10.27	0	46.41	3.69
37.44	0.25	0	9.08	0	24.35	29.2
37.23	0.26	0	10.25	0	23.76	29.04
39.56	0.19	0.01	11.97	0	44.71	3.8
36.91	0.28	0.01	10.36	0	23.83	29.08
39.54	0.19	0.02	12.63	0	44.03	3.86
36.82	0.27	0.01	9.79	0	23.93	28.98
39.57	0.2	0.02	11.64	0	44.87	3.67
39.65	0.18	0.01	12.74	0	44.06	3.78
37.24	0.26	0.01	8.34	0	25.33	28.4
40.31	0.22	0.01	9.5	0	46.9	4.09
37.45	0.25	0.01	6	0	26.65	29.04
40.93	0.18	0.02	6.66	0	49.69	3.67
36.88	0.31	0.01	10.01	0	23.93	28.76
39.78	0.2	0.02	11.86	0	44.53	3.81
37.4	0.27	0	9.25	0	24.32	29.33
40.07	0.25	0.02	10.61	0	45.73	3.96
37.64	0.25	0	8.1	0	25.2	29.14
39.9	0.2	0.03	9.2	0	47.5	3.68
37.3	0.28	0	9.86	0	23.85	29.25
39.72	0.21	0.02	11.06	0	45.58	3.84
36.98	0.33	0	6.96	0.02	26.56	28.68
40.26	0.23	0.01	7.57	0	47.92	4.18
37.13	0.31	0.01	7.29	0.04	26.24	28.26
40.42	0.22	0	7.7	0	47.99	4.29
37.71	0.31	0.01	6.68	0	26.45	28.5
37.58	0.22	0	8.33	0	24.62	29.4
37.49	0.25	0	8.41	0	24.61	29.86
40.51	0.16	0.02	7.4	0	49.03	3.38
37.25	0.33	0	10.08	0	24.01	29.03
39.84	0.22	0.02	10.89	0	45.77	3.68
36.84	0.32	0.01	10.51	0	23.7	28.89
39.52	0.31	0.02	11.6	0	44.8	3.99
36.82	0.29	0.01	10.58	0	23.5	29.22
39.72	0.19	0.01	11.38	0	45.23	3.68
37.01	0.29	0.01	7.01	0.02	26.74	28.57
40.34	0.23	0.01	7.58	0	48.02	3.98
36.8	0.26	0.01	9.7	0.03	23.58	28.89
39.78	0.22	0.02	11.03	0	45.84	3.43
36.83	0.29	0.01	9.27	0.03	23.9	28.96
40.17	0.19	0.01	10.85	0	46.54	3.26
36.74	0.29	0.01	6.72	0.03	26.07	29.39
40.16	0.2	0.01	10.02	0	46.49	3.92
39.93	0.22	0.01	7.53	0.03	48.19	4.44
40.92	0.14	0.01	3.58	0.03	52.68	2.9
37.44	0.29	0.01	6.57	0.02	26.71	28.81
