SiO2	TiO2	FeO	MnO	MgO	NiO
42.10	0.02	9.05	0.13	51.02	0.48
41.16	0.03	9.05	0.13	49.25	0.33
40.85	0.00	8.86	0.11	50.05	0.50
39.83	0.08	8.67	0.13	50.01	0.45
41.41	0.01	9.11	0.11	50.20	0.40
41.62	0.00	9.50	0.13	50.25	0.50
40.99	0.00	9.46	0.12	50.05	0.49
41.30	0.01	9.52	0.15	49.79	0.40
41.40	0.02	9.33	0.12	50.26	0.42
41.28	0.02	9.13	0.15	50.23	0.48
40.28	0.02	9.04	0.13	49.64	0.40
40.77	0.00	9.04	0.12	49.69	0.45
40.65	0.00	9.15	0.13	49.91	0.44
38.85	0.01	9.08	0.13	49.63	0.46
40.32	0.00	9.20	0.12	49.91	0.42
39.89	0.00	9.10	0.16	49.72	0.39
39.73	0.00	9.23	0.15	49.15	0.43
39.81	0.00	9.12	0.15	49.54	0.36
40.23	0.00	9.18	0.16	49.23	0.40
40.25	0.00	8.90	0.14	49.91	0.40
40.08	0.02	9.05	0.12	49.79	0.39
39.96	0.02	9.08	0.15	49.72	0.47
39.59	0.00	9.12	0.12	49.95	0.44
39.78	0.01	8.97	0.14	49.46	0.39
39.74	0.00	9.28	0.13	49.93	0.47
39.64	0.00	9.16	0.13	49.52	0.42
39.73	0.01	9.26	0.12	49.36	0.41
39.83	0.01	9.09	0.14	49.63	0.42
39.54	0.00	9.03	0.15	49.47	0.46
39.91	0.02	8.98	0.12	49.88	0.48
39.84	0.00	9.24	0.13	49.74	0.48
39.69	0.01	9.15	0.14	49.60	0.43
39.99	0.00	9.11	0.14	50.03	0.41
40.21	0.00	9.25	0.12	50.02	0.40
40.35	0.03	9.06	0.15	50.28	0.37
42.27	0.00	9.41	0.13	50.00	0.36
40.85	0.00	9.68	0.10	49.84	0.45
40.90	0.00	9.84	0.13	49.80	0.40
40.59	0.00	9.84	0.15	49.95	0.45
41.38	0.00	9.62	0.12	49.73	0.48
41.03	0.00	9.77	0.12	50.16	0.51
41.05	0.00	9.35	0.14	50.25	0.45
41.20	0.00	9.47	0.17	47.56	0.50
40.82	0.00	9.75	0.16	48.87	0.39
41.50	0.00	9.64	0.15	49.73	0.35
40.90	0.00	9.92	0.16	50.98	0.34
41.17	0.00	9.83	0.14	49.53	0.41
41.43	0.00	9.95	0.15	50.07	0.39
40.65	0.03	9.60	0.14	50.34	0.41
40.89	0.00	9.54	0.13	50.33	0.38
41.32	0.00	9.60	0.14	50.20	0.39
41.34	0.00	9.72	0.13	49.72	0.38
40.98	0.03	9.57	0.13	50.11	0.43
40.85	0.00	9.27	0.14	50.18	0.34
40.60	0.00	9.30	0.13	49.96	0.42
41.02	0.00	9.13	0.13	50.43	0.30
41.87	0.00	9.36	0.14	50.77	0.46
41.64	0.00	9.15	0.15	50.60	0.52
41.32	0.00	10.17	0.13	49.89	0.43
41.57	0.00	9.85	0.12	50.03	0.44
41.88	0.00	9.78	0.13	50.11	0.48
41.42	0.00	9.70	0.12	50.16	0.45
41.40	0.00	9.85	0.13	50.17	0.40
41.56	0.00	9.70	0.12	50.29	0.46
41.73	0.00	9.87	0.14	50.41	0.43
41.75	0.00	9.89	0.14	50.02	0.39
41.27	0.00	9.53	0.14	50.20	0.54
41.28	0.00	9.97	0.14	49.02	0.45
41.23	0.00	9.64	0.10	49.95	0.38
41.93	0.00	9.82	0.12	50.28	0.46
41.44	0.00	10.03	0.15	50.36	0.46
41.59	0.00	9.77	0.14	50.10	0.40
41.74	0.00	9.86	0.13	49.97	0.38
41.49	0.00	9.72	0.16	50.41	0.42
41.46	0.00	9.67	0.11	49.98	0.46
41.23	0.00	9.51	0.14	50.32	0.42
41.62	0.00	9.57	0.14	49.37	0.40
41.46	0.00	10.16	0.16	50.24	0.42
41.11	0.00	9.66	0.15	49.76	0.52
41.18	0.00	9.77	0.13	50.80	0.41
41.35	0.00	9.55	0.15	50.75	0.47
41.71	0.00	9.79	0.15	50.06	0.41
41.29	0.00	9.98	0.17	49.99	0.47
41.82	0.00	9.68	0.12	50.57	0.46
41.83	0.00	9.75	0.11	50.52	0.41
41.89	0.00	9.74	0.09	50.65	0.37
41.90	0.00	9.83	0.14	50.18	0.41
41.82	0.00	9.85	0.16	50.25	0.46
41.73	0.00	9.98	0.11	49.91	0.37
41.77	0.00	9.68	0.17	50.27	0.42
41.81	0.00	9.53	0.14	50.26	0.47
41.68	0.00	9.81	0.12	50.30	0.42
41.87	0.00	9.20	0.12	50.46	0.48
41.77	0.00	9.92	0.14	50.15	0.50
41.59	0.00	9.84	0.14	50.15	0.39
41.46	0.00	9.80	0.17	50.36	0.38
41.75	0.00	9.53	0.13	50.38	0.47
41.68	0.00	9.27	0.17	50.68	0.41
41.73	0.00	9.60	0.13	50.09	0.47
41.73	0.00	9.47	0.16	50.25	0.43
41.63	0.00	9.95	0.10	50.44	0.42
41.36	0.00	9.75	0.14	50.37	0.49
41.65	0.00	9.41	0.13	50.67	0.51
