SiO2  	TiO2  	Al2O3 	Cr2O3 	FeO   	MnO   	MgO   	CaO   	Na2O  	 K2O   
55.80000	0.05350	10.89000	0.00650	12.00000	0.12340	3.70000	6.57000	10.27000	0.00250
55.70000	0.07440	10.39000	0.01510	12.51000	0.12910	3.96000	7.13000	9.90000	0.00760
55.68000	0.07550	10.33000	0.00890	12.37000	0.11370	4.10000	7.23000	9.87000	0.00100
55.82000	0.07770	11.08000	0.01850	12.06000	0.14340	3.59000	6.52000	10.45000	0.01440
55.46000	0.06000	9.87000	0.00000	12.61000	0.19280	4.01000	7.35000	9.78000	0.00230
56.17000	0.17830	12.72000	0.00000	12.28000	0.12580	2.04000	3.71000	12.00000	0.01000
56.13000	0.17920	12.61000	0.00000	12.03000	0.10940	2.07000	3.75000	11.78000	0.00840
56.12000	0.18540	12.39000	0.02200	12.30000	0.12680	2.11000	3.91000	11.83000	0.01360
56.28000	0.12320	12.89000	0.00480	12.10000	0.09870	1.94000	3.51000	12.19000	0.01300
54.44000	0.06570	6.46000	0.00000	15.48000	0.21840	4.78000	9.09000	8.59000	0.00000
54.36000	0.05990	6.29000	0.00000	15.06000	0.20520	5.05000	9.42000	8.32000	0.00120
54.51000	0.05160	6.62000	0.00790	15.12000	0.22910	4.84000	9.06000	8.54000	0.00000
54.48000	0.06070	6.70000	0.01020	15.22000	0.19240	4.73000	8.99000	8.60000	0.00190
54.71000	0.05770	7.34000	0.00000	14.96000	0.21150	4.31000	8.22000	8.93000	0.00140
54.82000	0.06640	7.93000	0.00000	14.73000	0.20050	4.02000	7.68000	9.36000	0.00240
54.47000	0.05280	6.89000	0.00960	15.05000	0.23590	4.69000	8.92000	8.55000	0.00000
54.52000	0.05160	6.95000	0.00520	15.09000	0.21830	4.66000	8.77000	8.63000	0.00000
54.73000	0.05550	7.57000	0.00000	15.07000	0.18090	4.27000	8.17000	9.12000	0.00540
54.78000	0.06420	7.79000	0.00000	14.65000	0.20940	4.22000	7.91000	9.21000	0.00000
55.44000	0.06370	8.91000	0.00000	12.45000	0.07420	4.56000	7.67000	9.69000	0.00000
55.64000	0.05500	8.87000	0.04000	11.10000	0.05270	5.51000	9.29000	8.87000	0.00000
55.51000	0.06720	9.01000	0.02780	12.40000	0.05470	4.66000	7.87000	9.61000	0.00600
55.68000	0.07050	9.24000	0.00000	12.26000	0.05310	4.41000	7.41000	9.93000	0.00700
55.75000	0.06810	9.27000	0.00000	12.32000	0.06640	4.52000	7.70000	9.83000	0.00080
55.41000	0.08000	10.40000	0.00940	12.34000	0.05410	4.01000	6.19000	10.34000	0.00120
55.76000	0.07200	9.30000	0.00000	12.16000	0.05630	4.53000	7.62000	9.83000	0.00750
55.40000	0.06720	7.70000	0.00000	12.88000	0.06210	5.36000	9.08000	9.00000	0.00330
55.28000	0.08070	8.25000	0.01220	12.80000	0.07420	4.98000	8.53000	9.25000	0.00390
55.56000	0.06470	8.75000	0.00370	13.29000	0.05150	4.25000	7.20000	10.02000	0.00000
53.58000	0.16640	3.52000	0.00000	22.00000	0.10130	2.88000	5.46000	10.31000	0.00040
53.84000	0.21610	4.42000	0.00000	21.48000	0.07870	2.32000	4.36000	10.99000	0.00210
54.33000	0.24900	5.86000	0.03010	21.17000	0.05360	1.64180	2.97000	11.97000	0.00220
54.34000	0.20760	5.82000	0.00570	21.30000	0.06830	1.54360	3.02000	12.02000	0.00000
53.80000	0.13110	3.84000	0.01240	22.16000	0.07450	2.60000	5.06000	10.75000	0.00670
53.54000	0.25470	3.40000	0.00000	22.33000	0.09020	2.65000	5.06000	10.62000	0.00000
53.65000	0.68960	3.99000	0.00000	21.69000	0.09020	2.57000	4.73000	10.84000	0.00330
53.67000	0.45690	3.86000	0.01370	22.12000	0.05660	2.35000	4.65000	11.02000	0.00220
54.48000	0.04730	6.49000	0.01250	15.60000	0.21880	4.60000	8.72000	8.76000	0.00460
54.67000	0.06340	6.57000	0.01640	15.69000	0.20150	4.44000	8.54000	8.91000	0.00180
54.62000	0.06410	6.77000	0.00000	15.64000	0.17300	4.37000	8.36000	9.00000	0.00050
54.80000	0.05270	7.19000	0.01190	15.31000	0.19630	4.20000	7.94000	9.41000	0.00560
54.78000	0.04310	7.32000	0.00000	15.08000	0.17770	4.15000	7.74000	9.48000	0.00410
54.79000	0.06370	7.30000	0.02470	15.43000	0.15850	4.08000	7.80000	9.43000	0.00340
56.10000	0.07140	10.44000	0.01590	12.56000	0.02230	3.21000	5.53000	11.01000	0.00390
56.07000	0.08220	10.22000	0.00000	12.89000	0.03600	3.25000	5.55000	11.17000	0.00180
56.41000	0.05130	10.77000	0.01640	12.24000	0.01170	3.26000	5.52000	11.23000	0.00000
56.36000	0.05860	10.57000	0.00000	12.09000	0.04350	3.40000	5.82000	11.06000	0.00730
56.39000	0.07750	10.01000	0.00420	12.68000	0.02440	3.58000	6.12000	10.93000	0.00350
56.31000	0.07150	10.38000	0.00000	12.44000	0.04050	3.42000	5.96000	11.00000	0.00500
56.22000	0.08700	9.64000	0.02710	13.18000	0.05530	3.46000	6.12000	10.95000	0.00080
56.17000	0.09090	9.56000	0.00420	13.32000	0.04410	3.44000	6.03000	10.95000	0.00230
56.31000	0.06740	9.83000	0.01410	12.65000	0.04950	3.83000	6.58000	10.77000	0.00010
