SiO2	TiO2	Al2O3	FeO	MnO	MgO	CaO	Cr2O3
56.7874500	0.0490300	2.1059900	6.7673700	0.1550400	34.7088400	0.3178600	0.3526400
53.8160600	0.0000000	2.4242100	6.5204600	0.1638900	35.1712100	0.4698600	0.3549800
56.7870800	0.0000000	2.3580100	6.8191600	0.1425100	34.2869300	0.4962900	0.3450000
56.8019900	0.0000000	2.2452000	6.6609600	0.1854400	34.3390400	0.3488900	0.3551300
56.3072900	0.0000000	1.7590100	6.5913200	0.1576300	34.5345700	0.3778800	0.1757600
56.8970500	0.0000000	1.7895000	6.7469900	0.1545000	34.7685900	0.3539600	0.1687300
57.0060300	0.0435800	1.5215900	6.7523100	0.1911100	35.1555200	0.2456400	0.1783700
56.6297041	0.0246200	2.0178900	6.0907735	0.1579100	34.3340612	0.3670855	0.2510600
55.0357998	0.0179800	3.2893600	5.8968952	0.1217000	33.6277773	0.6885318	0.7092200
55.0792127	0.0329700	3.2004200	6.0088544	0.1490500	33.5290742	0.7352011	0.7680400
55.3198150	0.0077900	1.5363300	6.2722645	0.1652900	34.6482816	0.3424732	0.1661800
57.7915319	0.0298600	1.4037800	6.4260356	0.1755000	35.6405425	0.3239619	0.1476600
57.0524900	0.0000000	2.2895400	6.7347400	0.1527000	34.7025300	0.4215800	0.2797600
56.8182800	0.0557300	1.9332900	6.8513000	0.1600900	34.5274700	0.3793800	0.3180800
57.5908700	0.0000000	1.7319400	6.6950700	0.1652100	35.0735500	0.2962900	0.1332100
58.4805600	0.0000000	1.3140400	6.5893200	0.1780800	34.9639200	0.3313700	0.1067200
57.5063900	0.0000000	1.5314400	6.7024800	0.1556900	35.1196500	0.3666400	0.1594600
57.2757300	0.0000000	1.6350000	7.0643800	0.1425000	34.9713800	0.2916900	0.1249100
57.9570700	0.0000000	1.3889900	6.7505400	0.1594400	35.1922100	0.2452200	0.1248500
