SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O
49.24	0.04	40.16	0	0.22	0	0.15	0.07	7.21	0.45
49.09	0.05	39.97	0.03	0.3	0.03	0.11	0.12	7.04	0.62
49.57	0.03	40.85	0.01	0.28	0	0.12	0.14	6.83	0.31
49.68	0.06	39.88	0.04	0.22	0.03	0.22	0.07	6.82	0.77
51.19	0	40.67	0	0.22	0	0.23	0.08	7.14	0.6
48.92	0.06	39.66	0.05	0.24	0.01	0.17	0.16	6.63	0.74
48.8	0.04	40.05	0.04	0.33	0	0.24	0.12	6.31	0.97
49.96	0	40.15	0	0.24	0.01	0.11	0.12	6.62	0.54
49.86	0.09	40.13	0.04	0.31	0	0.19	0.12	6.52	0.91
49.17	0.04	41.68	0.04	0.3619944	0	0.17	0.08	6.71	0.41
49.34	0.01	40.41	0.05	0.24	0	0.19	0.09	6.47	0.55
49.75	0.05	40.67	0.02	0.25	0	0.15	0.08	6.67	0.57
49.44	0.01	40.76	0.03	0.38	0.03	0.09	0.12	6.52	0.5
49.58	0.08	41.04	0.04	0.2659992	0	0.14	0.11	6.57	0.38
49.42	0.07	40.61	0.02	0.24	0.03	0.17	0.1	6.62	0.64
47.81	0	39.82	0.01	0.18	0	0.09	0.13	7.2	0.42
48.46	0.06	39.44	0.02	0.21	0.05	0.09	0.08	7.2	0.48
47.66	0.05	40.45	0.02	0.21	0	0.12	0.11	6.77	0.54
48.08	0.06	40.88	0.05	0.2689958	0	0.12	0.13	6.41	0.75
49.36	0	40.71	0.03	0.23	0	0.08	0.08	7.38	0.61
49.3	0.05	40.27	0.04	0.25	0	0.15	0.09	6.36	0.74
49.92	0.04	40.28	0.04	0.23	0	0.17	0.14	6.69	0.77
50.02	0.08	40.1	0.06	0.24	0.01	0.14	0.09	6.72	0.68
48.34	0.06	40.39	0.11	0.22	0.02	0.21	0.1	6.46	0.72
48.27	0.06	39.97	0	0.36	0	0.1	0.14	6.52	0.56
49.23	0.07	39.53	0.07	0.43	0.01	0.21	0.11	6.8	0.85
49.95	0.04	40.56	0.03	0.28	0	0.14	0.11	6.89	0.7
50.7	0.1	40.75	0.05	0.21	0.05	0.16	0.1	6.58	0.53
49.54	0.05	40.87	0	0.31	0	0.16	0.11	6.61	0.57
50.43	0.04	41	0.04	0.21	0	0.07	0.1	6.62	0.25
50.33	0	40.35	0.03	0.21	0	0.22	0.14	6.6	0.62
50.07	0.05	40.07	0	0.22	0.05	0.1	0.07	6.66	0.51
50.58	0.06	41.03	0.04	0.26	0.05	0.1	0.09	7.09	0.45
49.04	0.09	40.49	0.03	0.4639928	0	0.19	0.09	5.89	0.78
49.25	0	40.86	0.01	0.3259952	0	0.23	0.39	6.14	0.65
48.79	0.05	40.69	0.05	0.26	0	0.13	0.14	6.51	0.5
50.58	0.04	40.76	0.02	0.52	0	0.2	0.12	6.73	0.81
50.49	0	39.91	0.03	0.37	0	0.16	0.11	6.89	0.77
49.76	0.07	41.52	0.02	0.379994	0	0.2	0.09	6.47	0.7
49.81	0.05	41.83	0	0.31	0	0.08	0.11	6.95	0.34
50.25	0.06	41.03	0.02	0.29	0.02	0.13	0.11	6.43	0.52
49.75	0.03	41.4	0.05	0.33	0	0.14	0.11	6.81	0.55
50.29	0.09	40.79	0.02	0.22	0.02	0.12	0.12	6.67	0.58
49.94	0	40.96	0	0.4	0	0.14	0.11	6.83	0.54
48.93	0	41.42	0	0.194997	0.02	0.06	0.06	6.53	0.3
50.04	0.03	41.14	0.03	0.27	0	0.11	0.11	6.68	0.59
50.03	0	40.63	0.02	0.3	0.04	0.16	0.09	6.81	0.56
49.55	0.11	41.29	0	0.4729926	0.01	0.19	0.1	5.86	0.86
48.46	0.06	41.33	0	0.2779956	0	0.12	0.14	5.88	0.5
49.91	0.06	40.01	0.03	0.34	0	0.18	0.11	6.75	0.9
49.97	0.05	40.4	0.07	0.28	0.01	0.19	0.11	6.69	0.8
49.49	0	41.09	0	0.2409962	0.01	0.14	0.13	6.29	0.5
48.99	0.06	40	0	0.2689958	0.01	0.19	0.12	6.2	0.46
