SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O	BaO
51.62242	0.17418	24.88045	-0.00009	2.56704	0.00343	4.17177	0.00420	0.24042	10.82069	0.16295
51.58661	0.16684	24.75493	0.07584	2.35940	0.03214	4.14758	0.01074	0.26503	11.05475	0.24869
51.28602	0.23405	24.39316	0.07998	2.48066	0.00789	4.25492	0.01404	0.33724	10.96450	0.39717
51.11789	0.15517	24.36949	0.14686	2.55269	0.00680	4.43172	0.00797	0.31435	10.75811	0.30490
51.46002	0.20005	24.60859	0.03086	2.38457	0.02492	4.16139	0.00825	0.24869	10.96286	0.32575
51.47168	0.18887	24.58455	0.06211	2.40182	0.01698	4.10121	-0.00163	0.25718	10.85540	0.31883
51.52974	0.07249	24.58181	0.08005	2.52134	0.03425	4.14978	0.00874	0.20017	10.92811	0.09875
51.72560	0.20813	24.64911	0.05125	2.66933	0.03327	4.14365	0.00387	0.28984	10.86247	0.19160
51.28032	0.16587	24.54367	0.03067	2.61884	0.01219	4.04864	0.00282	0.27822	10.85153	0.21145
51.56606	0.16670	24.69925	0.05791	2.42195	0.01147	4.14490	0.01299	0.22514	10.92146	0.35519
53.58097	-0.05608	21.85925	0.10223	3.50393	0.03892	4.82255	0.00229	0.06964	10.79362	0.39559
53.77415	-0.05627	21.67898	0.09314	3.43898	-0.00130	4.79591	0.01672	0.04122	11.18215	0.26010
53.62699	-0.00353	21.84867	0.04871	3.38550	0.04340	4.73606	-0.00234	-0.02305	11.08073	0.31010
53.57152	-0.02617	21.69786	0.01525	3.49891	0.03874	4.74475	0.01366	0.00520	11.05547	0.28852
54.01513	-0.02951	21.95874	0.06245	3.39319	0.03919	4.82157	-0.00715	0.02324	11.08214	0.36806
53.98286	-0.01097	21.95939	0.09773	3.53920	0.01141	4.77833	0.01221	0.06905	11.20491	0.23906
52.57580	0.00036	22.08249	0.00650	3.49354	0.02976	4.65943	-0.00458	0.01491	11.00718	0.34586
52.98129	0.05637	22.19704	-0.01599	3.55373	0.03515	4.57075	0.00595	-0.03840	11.02530	0.35909
53.51282	0.03029	21.94124	0.05756	3.49260	0.02733	4.62613	0.01176	0.04036	11.02232	0.41657
52.73666	-0.01837	22.22127	0.05994	3.74676	0.06415	4.70954	-0.00569	0.04432	11.00283	0.54490
