SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O	K2O
50.53	0.06	31	0.02	2.1889998	0.03	2.23	0	0.46	9.75
51.95	0.36	27.86	0.02	2.12	0.03	3.04	0	0.6	9.01
53.49	0.08	27.49	0.03	1.76	0	3.53	0.01	0.68	9.19
51.81	0.1	30.49	0.01	2.594967	0.03	2.65	0	0.46	9.34
52.24	0.35	27.89	0.05	2.64	0.02	2.81	0.02	0.74	9.43
50.48	0.4	29.06	0	2.47	0	2.67	0	0.64	9.72
52.34	0.34	27.48	0.01	2.69	0	3	0.07	0.71	9.45
55.25	0.11	24.32	0	2.1	0	4.45	0	0.23	9.75
57.6	0.08	22.55	0	2.52	0.04	4.91	0.02	0.18	9.68
53.86	0.19	27.11	0.07	2.06	0	3.5	0.01	0.64	9.62
52.05	0.28	27.72	0.03	2.43	0	3.13	0.03	0.68	9.29
52.69	0.32	28.63	0.07	2.4939888	0.01	3.07	0	0.63	9.04
52.94	0.24	28.16	0.1	1.84	0	3.25	0.01	0.67	9.24
52.09	0.48	29.15	0.06	2.76	0	2.71	0.05	0.74	9.2
52.93	0.2	28.67	0.05	2.2489798	0	3.39	0.02	0.61	9.08
52.31	0.21	27.64	0.06	3.1359512	0	3.79	0	0.54	8.49
52.9	0.32	29.52	0	1.44	0	3.37	0.02	0.76	9.2
51.01	0.27	27.39	0.04	3.979938	0.06	4.08	0.02	0.56	8.35
52.43	0.31	28.64	0.05	2.5669894	0.02	2.91	0	0.6	8.95
53.18	0.23	28.07	0.07	1.85	0.04	3.32	0.02	0.54	9.21
52.79	0.25	28.4	0.01	2.24	0	3.22	0	0.59	9.46
52.74	0.19	28.55	0.02	1.8189998	0.03	3.36	0	0.52	9.35
52.21	0.42	29.16	0	2.564987	0	2.93	0	0.75	9
52.96	0.25	28.19	0.04	1.92	0.02	3.4	0	0.56	9.29
51.63	0.32	28.29	0.06	2.63	0.03	2.89	0.06	0.68	9.2
55.35	0.2	24.77	0	1.9	0.06	4.24	0.05	0.27	9.95
53.66	0.19	28.33	0.04	1.57	0	3.5	0	0.53	9.03
52.85	0.16	28.13	0.02	1.5619964	0.02	3.65	0.01	0.5	9.23
53.4	0.25	28.6	0.08	2.0509902	0.01	3.37	0.01	0.62	8.97
52.73	0.31	28.34	0.03	1.99	0.03	3.21	0	0.63	9.08
51.47	0.38	28.6	0.03	2.5759932	0.08	2.9	0	0.63	9.3
52.13	0.27	28.22	0.05	2.5769874	0.02	3.13	0	0.58	9.2
54.34	0.18	25.51	0.07	1.79	0	3.89	0	0.35	9.79
55.52	0.14	25.11	0	1.86	0.01	3.96	0.07	0.33	8.69
53.24	0.26	26.46	0	1.72	0	3.53	0.03	0.51	9.29
53.25	0.26	27.15	0.01	1.92	0	3.59	0.01	0.53	9.4
53.53	0.19	26.79	0.05	1.94	0	3.42	0.04	0.52	9.32
55.6	0.07	24.09	0.02	2.14	0	4.55	0.05	0.21	9.78
54.26	0.21	27.27	0.01	1.77	0.04	3.59	0.05	0.59	9.24
53.67	0.17	26.82	0.01	1.884987	0	3.53	0.01	0.4	8.2
54.26	0.17	26.56	0	1.75	0	3.58	0.06	0.6	9.64
52.92	0.3	27.01	0.04	2.09	0.01	3.1	0	0.69	9.28
55.67	0.11	23.48	0.06	1.89	0	4.22	0.02	0.32	9.57
52.18	0.35	27.2	0.04	2.6	0.04	3.12	0.05	0.6	9.11
53.76	0.35	27.34	0	2.13	0	3.21	0.1	0.78	8.9
52.9	0.35	27.25	0	2.05	0.03	3.3	0.08	0.69	9.27
53.91	0.2	26.72	0.07	1.71	0.02	3.46	0.1	0.7	9.62
55.52	0.11	23.88	0.02	2.16	0.03	4.4	0	0.22	9.64
56.04	0.13	23.8	0	2.43	0	4.23	0.03	0.31	9.47
52.1	0.35	28.26	0.06	2.6209922	0	3.06	0	0.65	9.15
53.54	0.18	27.36	0.01	1.64	0	3.65	0.01	0.53	9.58
53.73	0.21	26.68	0.03	1.78	0.04	3.55	0	0.53	9.4
53.16	0.17	27.1	0.02	1.82	0	3.41	0	0.71	9.54
