SiO2	Al2O3	FeO	CaO	Na2O	K2O
60.989	24.759	0.074	5.96	8.767	0.139
61.73	24.208	0.056	5.22	9.097	0.185
61.664	24.312	0	5.453	9.162	0.107
58.648	25.51	0.041	7.202	7.799	0.191
59.28	25.408	0.062	6.931	8.002	0.132
56.495	27.425	0.074	8.903	6.759	0.167
61.346	24.329	0	6.096	8.397	0.158
50.566	31.452	0.015	13.78	3.864	0.061
56.82	26.787	0.038	8.782	7.107	0.16
50.504	31.394	0	13.825	3.866	0.062
43.765	35.503	0.041	19.103	0.477	0.011
43.958	35.583	0	19.148	0.533	0.009
44.718	35.453	0	18.556	0.859	0.014
43.429	35.489	0.087	19.117	0.5	0.011
43.956	35.363	0.061	18.802	0.629	0.014
61.194	24.167	0	5.781	8.806	0.195
59.593	25.679	0.108	7.189	7.785	0.293
58.82	26.051	0.082	7.701	7.465	0.145
59.817	25.74	0.064	7.168	7.939	0.205
63.696	22.782	0.026	3.827	9.933	0.087
60.414	25.504	0.031	7.034	7.986	0.156
63.411	22.76	0.046	4.04	9.529	0.305
51.219	30.541	0.013	13.28	3.909	0.102
51.837	29.98	0.044	12.711	4.332	0.108
57.799	25.453	0	7.715	7.629	0.089
55.827	27.345	0.01	9.298	6.361	0.116
52.389	29.561	0.033	12.294	4.55	0.114
57.901	25.822	0	7.788	7.411	0.121
43.153	35.942	0	19.973	0.247	0.01
43.339	36.55	0.013	19.908	0.2	0
59.754	25.214	0.069	6.945	7.922	0.199
56.156	26.94	0.313	9.243	6.633	0.149
57.825	26.72	0.252	8.502	7.115	0.109
