   S     	   Co    	   Cu    	   As    	   Fe    	   Ni    
53.56	0.65	0.01	0.00	45.99	0.06
53.62	0.73	0.02	0.00	46.08	0.05
53.84	0.68	0.02	0.00	46.17	0.07
53.61	0.73	0.01	0.00	45.92	0.06
53.70	0.66	0.03	0.00	45.97	0.07
53.43	0.72	0.04	0.00	46.00	0.05
53.46	0.72	0.04	0.00	45.93	0.04
53.56	0.72	0.03	0.00	45.99	0.05
53.61	0.74	0.03	0.00	46.22	0.05
53.58	0.72	0.03	0.00	46.16	0.06
53.55	0.41	0.00	0.00	46.24	0.19
53.63	0.46	0.00	0.00	46.30	0.17
53.61	0.45	0.00	0.00	46.14	0.16
53.54	0.43	0.00	0.00	46.16	0.17
53.52	0.43	0.00	0.00	46.30	0.20
53.50	0.43	0.00	0.00	46.23	0.19
53.49	0.43	0.01	0.00	46.14	0.14
53.46	0.45	0.00	0.00	46.16	0.16
53.50	0.46	0.00	0.00	46.13	0.16
53.79	0.45	0.00	0.00	46.14	0.16
53.42	0.73	0.02	0.00	46.16	0.00
53.49	0.83	0.01	0.00	46.09	0.01
53.42	0.96	0.00	0.00	46.00	0.00
53.42	0.80	0.00	0.00	46.07	0.04
53.42	0.86	0.01	0.00	45.92	0.06
53.51	0.90	0.00	0.00	45.88	0.06
53.53	0.81	0.00	0.00	46.09	0.01
53.48	0.77	0.00	0.00	46.05	0.01
53.44	0.85	0.00	0.00	46.16	0.00
52.69	0.07	0.00	0.00	46.29	0.18
52.29	0.14	0.00	0.00	45.81	0.43
52.83	0.24	0.00	0.00	45.69	0.63
52.70	0.31	0.00	0.00	45.40	0.86
					
					
					
