SiO2	TiO2	Cr2O3	Al2O3	FeO	MnO	MgO	CaO	Na2O
49.960	0.307	1.270	6.320	3.820	0.160	14.930	22.070	0.230
53.180	0.500	0.980	2.510	4.090	0.120	17.280	21.090	0.270
51.310	0.320	1.270	5.200	3.460	0.110	15.770	22.070	0.190
52.960	0.480	1.010	2.190	4.010	0.120	17.220	21.840	0.220
50.740	0.360	1.270	6.360	3.730	0.130	15.230	22.210	0.200
52.723	0.320	1.115	4.775	3.958	0.123	20.860	17.475	0.120
52.810	0.280	1.320	4.030	3.980	0.110	18.300	19.270	0.180
53.060	0.370	1.370	3.740	3.250	0.130	17.300	20.540	0.200
51.890	0.320	1.240	4.750	3.870	0.080	16.830	20.810	0.150
51.750	0.360	1.380	4.770	3.820	0.180	17.500	19.560	0.170
53.060	0.213	0.633	2.610	6.537	0.223	33.437	1.220	0.060
52.130	0.310	1.320	4.200	4.040	0.140	20.100	17.020	0.150
52.480	0.340	1.120	3.860	3.060	0.110	15.920	22.480	0.110
52.500	0.330	1.380	4.340	3.630	0.100	18.060	19.440	0.110
55.480	0.160	0.980	3.040	5.910	0.170	31.280	1.150	0.030
