   S     	   Co    	   Cu    	   As    	   Fe    	   Ni    
38.34	0.09	0.01	0.00	59.62	0.68
38.27	0.10	0.00	0.00	59.77	0.68
38.31	0.10	0.01	0.00	59.73	0.68
38.35	0.09	0.00	0.00	59.88	0.68
38.34	0.10	0.00	0.00	59.80	0.68
38.29	0.09	0.00	0.00	59.84	0.67
38.18	0.09	0.01	0.00	59.80	0.67
37.67	0.08	0.01	0.00	59.63	0.65
38.23	0.08	0.00	0.00	59.73	0.67
37.78	0.09	0.01	0.00	59.75	0.48
38.04	0.10	0.01	0.00	59.82	0.47
38.03	0.10	0.01	0.00	59.62	0.47
38.15	0.10	0.00	0.00	59.60	0.48
38.30	0.10	0.00	0.00	59.54	0.51
37.91	0.13	0.00	0.00	59.99	0.35
38.17	0.12	0.00	0.00	60.12	0.33
38.18	0.14	0.01	0.00	59.86	0.34
38.49	0.12	0.00	0.00	60.12	0.35
38.40	0.12	0.00	0.00	59.88	0.37
38.44	0.13	0.00	0.00	60.01	0.33
38.61	0.13	0.00	0.00	60.08	0.34
38.37	0.12	0.00	0.00	59.95	0.33
38.43	0.12	0.00	0.00	60.02	0.35
38.08	0.18	0.01	0.00	59.94	0.42
38.08	0.17	0.00	0.00	59.69	0.40
38.02	0.17	0.00	0.00	59.96	0.40
37.92	0.17	0.00	0.00	59.97	0.37
37.79	0.18	0.01	0.00	59.80	0.40
38.03	0.18	0.00	0.00	60.12	0.38
37.96	0.19	0.00	0.00	59.98	0.39
38.04	0.18	0.01	0.00	60.10	0.40
37.95	0.18	0.00	0.00	60.06	0.41
37.91	0.19	0.00	0.00	60.00	0.38
38.01	0.17	0.10	0.00	60.28	0.34
38.07	0.16	0.05	0.00	60.13	0.37
38.02	0.17	0.08	0.00	60.13	0.35
38.00	0.18	0.05	0.00	60.25	0.35
38.07	0.18	0.04	0.00	60.15	0.36
38.11	0.19	0.04	0.00	60.19	0.36
38.61	0.16	0.10	0.00	59.77	0.34
38.54	0.18	0.06	0.00	59.89	0.37
38.65	0.16	0.02	0.00	60.33	0.38
38.06	0.17	0.00	0.00	60.26	0.37
