SiO2	TiO2	Al2O3	Cr2O3	FeO	MnO	MgO	CaO	Na2O										
38.90900	0.00400	15.40800	0.03200	9.69700	1.24300	0.14200	34.39200	0.00600										
37.09600	0.01100	6.85800	0.02200	19.41000	0.72000	0.03700	33.68700	0.01000										
35.87600	0.01200	3.61700	0.00200	23.10600	0.53300	0.22400	33.23900	0.00800										
35.96700	0.01800	3.62200	0.00200	23.15700	0.56800	0.07300	33.20600	0.00000										
37.08500	0.02100	8.33000	0.00000	17.69000	0.71400	0.03300	33.76600	0.00000										
38.31800	0.00100	15.32100	0.00100	9.91400	1.22400	0.13800	34.12600	0.00000										
38.25100	0.00700	15.33800	0.02100	9.97600	1.18300	0.14400	34.04000	0.00000										
38.31000	0.00700	15.43300	0.01900	9.85500	1.20800	0.12500	33.96900	0.00600										
38.46800	0.00800	15.55200	0.00600	9.79900	1.20400	0.13000	34.12400	0.00300										
38.54300	0.00600	15.54600	0.00000	9.75300	1.14100	0.12700	34.20900	0.01000										
38.53200	0.00500	15.53900	0.00000	9.62500	1.19300	0.12300	34.16400	0.00400										
38.32400	0.00000	15.49200	0.02000	9.49400	1.22400	0.12100	33.98400	0.00000										
38.37900	0.02400	15.57000	0.02400	9.61800	1.16400	0.11700	34.03200	0.00100										
38.92000	0.02300	15.56000	0.01900	9.50100	1.19900	0.17200	33.87400	0.00800										
38.68500	0.01600	15.84200	0.00000	9.32100	1.21300	0.16100	34.14700	0.00000										
38.53900	0.09400	15.40100	0.03800	9.65800	1.17900	0.15100	34.39000	0.00400										
38.20600	0.01200	13.76000	0.00600	11.88700	1.25700	0.09100	33.76100	0.00600										
38.42900	0.01200	14.10000	0.00000	11.41800	1.12700	0.14200	34.13900	0.01400										
38.66000	0.05100	15.47200	0.00000	9.62800	1.29100	0.11100	34.29600	0.01100										
38.63400	0.01600	15.57600	0.01100	9.65900	1.21500	0.17900	34.02800	0.00200										
38.63900	0.01700	15.52200	0.00300	9.75700	1.16800	0.16100	34.13800	0.00000										
38.55600	0.03300	16.14500	0.00000	9.02900	1.28300	0.14400	34.03000	0.00000										
38.72400	0.05300	15.69000	0.03800	9.29900	1.28400	0.12400	34.15100	0.00000										
38.62200	0.03700	15.91900	0.00900	9.33300	1.26100	0.13500	33.89600	0.00200										
38.72900	0.00800	15.61600	0.02900	9.80300	1.13500	0.14800	33.94300	0.00500										
38.85000	0.00800	15.51600	0.00000	9.51500	1.18500	0.13500	34.20400	0.00300										
38.77100	0.03100	15.78800	0.01700	9.42900	1.24000	0.14800	33.96300	0.00000										
38.67300	0.01500	15.91600	0.00300	9.14500	1.25600	0.13600	33.99700	0.00000										
38.64300	0.00000	16.14300	0.00000	9.06200	1.22800	0.14600	34.23100	0.00600										
38.86900	0.00900	16.18700	0.02600	8.92600	1.27300	0.14800	34.19400	0.00000										
38.99500	0.00400	16.38300	0.02400	8.74600	1.31500	0.15100	34.01300	0.00400										
38.87100	0.01500	15.83400	0.01300	9.10100	1.24600	0.14500	34.17200	0.00800										
38.88000	0.00300	15.99500	0.00000	9.06900	1.24200	0.13800	34.15400	0.00300										
39.00300	0.01000	16.18500	0.01600	8.94200	1.27800	0.13200	34.22100	0.00000										
38.81700	0.01600	16.21600	0.02100	8.67700	1.20700	0.13900	34.11500	0.00000										
39.03300	0.00800	16.13800	0.00400	8.66700	1.22200	0.13300	34.07800	0.01800										
38.91400	0.01600	16.09300	0.00300	8.78700	1.20300	0.13500	33.50700	0.00200										
38.90100	0.01800	16.43800	0.00500	8.57500	1.22600	0.15000	34.37500	0.00800										
39.02700	0.01900	16.61300	0.02000	8.53900	1.27600	0.14500	34.41300	0.00700										
39.07600	0.03100	16.48600	0.02000	8.50300	1.28000	0.14200	34.19300	0.00400										
39.12600	0.04000	16.62900	0.00000	8.37100	1.28100	0.14000	34.33200	0.00000										
38.89800	0.03000	15.57200	0.03100	9.79100	1.26400	0.13400	34.03900	0.00000										
38.83200	0.08600	15.44100	0.04000	9.74800	1.22700	0.12600	33.87100	0.00700										
38.73400	0.02000	15.39500	0.02300	9.63100	1.18900	0.12900	33.97900	0.00000										
38.94000	0.00600	15.26000	0.00800	9.86600	1.20600	0.14700	34.26100	0.00000										
38.15700	0.00000	11.20300	0.00000	14.62700	0.93400	0.08100	34.12300	0.00200										
38.25300	0.15600	11.79200	0.01900	13.90900	0.96900	0.09800	34.13500	0.00600										
38.39600	0.04000	11.24400	0.00500	14.45700	0.95900	0.08200	34.21600	0.00000										
38.85700	0.01600	15.33200	0.01100	9.94100	1.17400	0.12100	34.34200	0.00000										
35.99800	0.00000	3.23900	0.00000	23.85700	0.50800	0.11500	33.08800	0.00300										
37.21700	0.96100	8.95300	0.02700	16.89500	1.14500	0.05700	33.14100	0.00000										
37.85300	0.35000	9.44800	0.01200	16.50400	0.98700	0.03400	33.84800	0.00800										
39.45900	0.02500	16.28800	0.00500	9.01800	1.28600	0.14200	34.42900	0.00000										
37.17100	0.00000	5.65700	0.00600	21.09400	0.59700	0.03500	33.81500	0.00700										
39.47100	0.04600	16.89700	0.00000	8.52400	1.38900	0.16500	34.37100	0.00000										
38.91100	0.09600	14.57900	0.00000	10.88500	1.29800	0.12500	34.30100	0.00800										
39.22600	0.01100	15.75400	0.03000	9.56500	1.23100	0.13800	34.24200	0.00000										
38.96300	0.00100	14.82500	0.03900	10.62900	1.26400	0.15400	34.32500	0.00100										
38.28300	0.00700	11.13400	0.01000	14.82100	0.92500	0.07900	34.15800	0.02200										
38.17000	0.36800	11.54300	0.00600	13.93200	0.93500	0.11600	33.89000	0.00500										
38.40400	0.53400	12.10800	0.01600	13.32600	0.98100	0.14800	34.05000	0.00300										
38.65800	0.04300	13.15700	0.01100	12.54200	1.07400	0.09600	33.95800	0.00100										
38.38200	0.39700	11.78800	0.01500	13.73300	0.97600	0.12200	34.18300	0.00400										
38.93300	0.30300	14.33000	0.00000	10.73400	1.20600	0.14900	34.24800	0.00100										
38.86800	0.10300	12.96500	0.01300	12.55100	1.09200	0.11700	34.27200	0.00400										
39.63300	0.01300	16.74700	0.02100	8.28000	1.34800	0.15700	34.65800	0.00000										
39.79900	0.06100	17.60700	0.00000	7.32300	1.32500	0.24100	34.64300	0.00000										
40.04800	0.07900	17.89900	0.02400	7.19200	1.48800	0.27900	34.76800	0.00000										
39.94100	0.21100	17.42300	0.00000	7.45000	1.41100	0.26100	34.96200	0.00900										
39.85800	0.13000	17.52200	0.00600	7.40500	1.42800	0.23900	34.84300	0.01200										
39.58000	0.20300	17.47600	0.00000	7.27000	1.34500	0.25100	34.57500	0.00000										
39.19900	0.25300	16.39500	0.01400	8.52200	1.27900	0.17800	34.53900	0.01100										
38.25200	1.85300	12.46800	0.01900	11.51900	1.07600	0.25300	34.20100	0.01100										
37.97800	1.25900	11.30200	0.04400	13.48200	1.07700	0.17800	33.81900	0.01300										
38.61900	0.39700	13.74600	0.02500	11.37400	1.07700	0.14400	34.06000	0.00600										
39.20200	0.23600	15.64900	0.00000	9.52400	1.25600	0.17700	34.26500	0.00000										
39.10500	0.23300	15.93500	0.00000	9.09300	1.33900	0.18000	34.42900	0.00000										
38.89200	0.44600	14.89700	0.00300	9.92600	1.21500	0.17000	34.29900	0.00300										
