SiO2	TiO2	Al2O3	Y2O3	FeO	MnO	MgO	CaO	Na2O	K2O	F
30.0001	37.9048	1.3365	0.0758	0.2100	0.0185	0.0075	28.5067	0.0187	0.0006	0.3709
30.1863	37.9056	1.3940	0.0886	0.2063	0.0293	0.0048	28.2136	0.0068	0.0006	0.3719
30.0479	38.1169	1.5023	0.0696	0.1831	-0.0014	0.0039	28.4641	0.0091	0.0011	0.4736
30.0068	38.3046	1.3836	0.0869	0.2590	-0.0106	-0.0003	28.1743	0.0103	0.0011	0.3745
30.0872	37.9459	1.6511	0.1020	0.2650	-0.0387	0.0043	28.4686	0.0197	0.0036	0.4933
29.7907	38.0027	1.4083	0.0753	0.2237	0.0252	-0.0080	28.2996	0.0090	-0.0046	0.3497
29.9260	38.3003	1.3540	0.0797	0.2166	0.0550	-0.0037	28.2032	0.0105	0.0031	0.3831
29.8611	38.0090	1.4173	0.1226	0.2179	-0.0268	0.0092	28.0189	0.0186	-0.0095	0.3539
30.0484	37.9163	1.5450	0.0670	0.2140	0.0072	0.0023	28.0974	0.0038	-0.0007	0.4537
30.0081	37.6789	1.6410	0.0930	0.1926	0.0258	-0.0071	28.3018	0.0094	-0.0061	0.5338
